id	class	class2	name
661_IS10	Insertion_element	IS10	IS10
315_IS10R	Insertion_element	IS10R	IS10R
2581_IS1166_U08850	Insertion_element	IS1166	IS1166
841_IS200_X56834	Insertion_element	IS200	IS200
1032_IS292_L29283	Insertion_element	IS292	IS292
1359_IS292_L29283	Insertion_element	IS292	IS292
1518_IS292_L29283	Insertion_element	IS292	IS292
1844_IS292_L29283	Insertion_element	IS292	IS292
2723_IS292_L29283	Insertion_element	IS292	IS292
1191_IS679_NC002142	Insertion_element	IS679	IS679
1521_IS679_NC002142	Insertion_element	IS679	IS679
1564_IS679_NC002142	Insertion_element	IS679	IS679
324_IS903	Insertion_element	IS903	IS903
1355_ISUnb4_LPNI01000100	Insertion_element	ISUnb4	ISUnb4
336_IS26_LN794248.1	Insertion_element	IS26	IS26
2067_IS26_KF056330.2	Insertion_element	IS26	IS26
2070_IS26_LN794248.1	Insertion_element	IS26	IS26
1151_IS621_NC009800	Insertion_element	IS621	IS621
270_IS91_MOFF01000153.1	Insertion_element	insertion_element_IS91	IS91
274_IS91_MSKD01000035.1	Insertion_element	insertion_element_IS91	IS91
276_IS91_CXCY01000114.1	Insertion_element	insertion_element_IS91	IS91
282_IS91_CP000036.1	Insertion_element	insertion_element_IS91	IS91
283_IS91_CP000036.1	Insertion_element	insertion_element_IS91	IS91
290_IS91_AQCX01000089.1	Insertion_element	insertion_element_IS91	IS91
293_IS91_GQ259888.1	Insertion_element	insertion_element_IS91	IS91
294_IS91_MOFA01000112.1	Insertion_element	insertion_element_IS91	IS91
295_IS91_LGMM01000043.1	Insertion_element	insertion_element_IS91	IS91
297_IS91_MSKE01000468.1	Insertion_element	insertion_element_IS91	IS91
300_IS91_CELV01000241.1	Insertion_element	insertion_element_IS91	IS91
303_IS91_CP001383.1	Insertion_element	insertion_element_IS91	IS91
305_IS91_CP001063.1	Insertion_element	insertion_element_IS91	IS91
306_IS91_LRLW01000235.1	Insertion_element	insertion_element_IS91	IS91
307_IS91_AGTD01000005.1	Insertion_element	insertion_element_IS91	IS91
310_IS91_LRLA01000003.1	Insertion_element	insertion_element_IS91	IS91
311_IS91_LRLK01000111.1	Insertion_element	insertion_element_IS91	IS91
312_IS91_MSKG01000291.1	Insertion_element	insertion_element_IS91	IS91
316_IS91_LGMC01000103.1	Insertion_element	insertion_element_IS91	IS91
322_IS91_LRKQ01000180.1	Insertion_element	insertion_element_IS91	IS91
325_IS91_LYDO01000032.1	Insertion_element	insertion_element_IS91	IS91
326_IS91_CP000034.1	Insertion_element	insertion_element_IS91	IS91
327_IS91_LRKR01000133.1	Insertion_element	insertion_element_IS91	IS91
334_IS91_MOIG01000044.1	Insertion_element	insertion_element_IS91	IS91
335_IS91_AQDA01000008.1	Insertion_element	insertion_element_IS91	IS91
